Vote_Number,Yeas,Nays,Question
203,53,42,On the Amendment S.Amdt. 1494 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
204,48,44,On the Amendment S.Amdt. 1506 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
205,46,51,On the Amendment S.Amdt. 1521 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
206,31,65,On the Motion to Table S.Amdt. 1986 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
207,56,40,On the Cloture Motion S.Amdt. 1569 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
208,62,24,On the Nomination PN88
209,78,21,On the Amendment S.Amdt. 1889 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
210,54,45,On the Amendment S.Amdt. 1549 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
211,50,49,On the Amendment S.Amdt. 1578 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
212,83,15,On the Cloture Motion S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
213,26,73,On the Amendment S.Amdt. 1473 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
214,84,14,On the Cloture Motion H.R. 1735
215,71,25,On Passage of the Bill H.R. 1735
216,50,45,On Cloture on the Motion to Proceed H.R. 2685
217,81,1,On the Nomination PN414
218,60,37,On the Cloture Motion H.R. 2146
219,60,38,On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2146)
220,76,22,On the Cloture Motion H.R. 1295
221,95,0,On the Nomination PN12
222,98,0,On the Amendment S.Amdt. 2085 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
223,47,50,On the Amendment S.Amdt. 2109 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
224,56,41,On the Amendment S.Amdt. 2107 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
225,45,52,On the Amendment S.Amdt. 2139 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
226,44,54,On the Amendment S.Amdt. 2110 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
227,98,0,On the Amendment S.Amdt. 2099 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
228,98,0,On the Amendment S.Amdt. 2094 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
229,81,15,On the Cloture Motion H.R. 1735
230,44,52,On the Motion (Reed Motion to Instruct Conferees Re: H.R. 1735)
231,89,0,On the Amendment S.Amdt. 2080 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
232,45,51,On the Amendment S.Amdt. 2132 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
233,56,40,On the Amendment S.Amdt. 2169 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
234,97,0,On the Amendment S.Amdt. 2194 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
235,32,64,On the Amendment S.Amdt. 2162 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
236,52,45,On the Amendment S.Amdt. 2093 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
237,86,12,On the Cloture Motion S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
238,44,53,On the Amendment S.Amdt. 2176 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
239,58,39,On the Amendment S.Amdt. 2171 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
240,46,50,On the Amendment S.Amdt. 2161 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
241,43,54,On the Amendment S.Amdt. 2241 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
242,40,58,On the Amendment S.Amdt. 2180 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
243,43,55,On the Amendment S.Amdt. 2177 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
244,68,30,On the Amendment S.Amdt. 2243 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
245,59,39,On the Amendment S.Amdt. 2247 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
246,53,44,On the Amendment S.Amdt. 2100 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
247,45,52,On the Amendment S.Amdt. 2242 to S.Amdt. 2089 to S. 1177 (Every Child Achieves Act of 2015)
248,79,18,On the Cloture Motion S. 1177
249,81,17,On Passage of the Bill S. 1177
250,41,56,On Cloture on the Motion to Proceed H.R. 22
251,62,36,On Cloture on the Motion to Proceed H.R. 22
252,51,26,On the Motion to Proceed H.R. 22
253,49,43,On the Cloture Motion S.Amdt. 2328 to S.Amdt. 2327 to S.Amdt. 2266 to H.R. 22
254,67,26,On the Cloture Motion S.Amdt. 2327 to S.Amdt. 2266 to H.R. 22 (Hire More Heroes Act of 2015)
255,79,14,On the Motion for Attendance H.R. 22
256,64,29,On the Amendment S.Amdt. 2327 to S.Amdt. 2266 to H.R. 22 (Hire More Heroes Act of 2015)
257,62,32,On the Cloture Motion S.Amdt. 2266 to H.R. 22 (Hire More Heroes Act of 2015)
258,62,38,On the Amendment S.Amdt. 2266 to H.R. 22 (Hire More Heroes Act of 2015)
259,65,35,On the Cloture Motion H.R. 22
260,65,34,On Passage of the Bill H.R. 22
261,91,4,On Passage of the Bill H.R. 3236
262,53,46,On Cloture on the Motion to Proceed S. 1881
263,96,0,On the Nomination PN17
